ticker,company_name,segment,sub_segment
AD,"Array Digital Infrastructure, Inc.",telecommunications_services,
AMX,"América Móvil, S.A.B. de C.V.",telecommunications_services,
ATEX,Anterix Inc.,telecommunications_services,
BCE,BCE Inc.,telecommunications_services,
CABO,"Cable One, Inc.",telecommunications_services,
CCOI,"Cogent Communications Holdings, Inc.",telecommunications_services,
CHT,"Chunghwa Telecom Co., Ltd.",telecommunications_services,
CHTR,"Charter Communications, Inc.",telecommunications_services,
CMCSA,Comcast Corporation,telecommunications_services,
CTBB,Qwest Corp. NT,telecommunications_services,
CTDD,Qwest Corp. 6.75% NT 57,telecommunications_services,
GLIBA,"GCI Liberty, Inc.",telecommunications_services,
GOGO,Gogo Inc.,telecommunications_services,
GSAT,"Globalstar, Inc.",telecommunications_services,
IDT,IDT Corporation,telecommunications_services,
IHS,IHS Holding Limited,telecommunications_services,
IRDM,Iridium Communications Inc.,telecommunications_services,
KT,KT Corporation,telecommunications_services,
LBRDA,Liberty Broadband Corporation,telecommunications_services,
LBTYK,Liberty Global plc,telecommunications_services,
LILA,Liberty Latin America Ltd.,telecommunications_services,
LUMN,"Lumen Technologies, Inc.",telecommunications_services,
OPTU,"Optimum Communications, Inc.",telecommunications_services,
PHI,PLDT Inc.,telecommunications_services,
RCI,Rogers Communications Inc.,telecommunications_services,
SHEN,Shenandoah Telecommunications Company,telecommunications_services,
SIFY,Sify Technologies Limited,telecommunications_services,
SKM,"SK Telecom Co.,Ltd",telecommunications_services,
T,AT&T Inc.,telecommunications_services,
TBB,AT&T Inc. 5.35% GLB NTS 66,telecommunications_services,
TDS,"Telephone and Data Systems, Inc.",telecommunications_services,
TEO,Telecom Argentina S.A.,telecommunications_services,
TIGO,Millicom International Cellular S.A.,telecommunications_services,
TIMB,TIM S.A.,telecommunications_services,
TKC,Turkcell Iletisim Hizmetleri A.S.,telecommunications_services,
TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,telecommunications_services,
TMUS,"T-Mobile US, Inc.",telecommunications_services,
TU,TELUS Corporation,telecommunications_services,
TV,"Grupo Televisa, S.A.B.",telecommunications_services,
VEON,VEON Ltd.,telecommunications_services,
VIV,Telefônica Brasil S.A.,telecommunications_services,
VOD,Vodafone Group Public Limited Company,telecommunications_services,
VZ,Verizon Communications Inc.,telecommunications_services,
