ticker,company_name,segment,sub_segment
ACHR,Archer Aviation Inc.,aerospace_and_defense,
AIR,AAR Corp.,aerospace_and_defense,
AMTM,"Amentum Holdings, Inc.",aerospace_and_defense,
ATRO,Astronics Corporation,aerospace_and_defense,
AVAV,"AeroVironment, Inc.",aerospace_and_defense,
AXON,"Axon Enterprise, Inc.",aerospace_and_defense,
BA,The Boeing Company,aerospace_and_defense,
BETA,"BETA Technologies, Inc.",aerospace_and_defense,
BWXT,"BWX Technologies, Inc.",aerospace_and_defense,
CAE,CAE Inc.,aerospace_and_defense,
CDRE,"Cadre Holdings, Inc.",aerospace_and_defense,
CW,Curtiss-Wright Corporation,aerospace_and_defense,
DCO,Ducommun Incorporated,aerospace_and_defense,
DRS,"Leonardo DRS, Inc.",aerospace_and_defense,
EMBJ,Embraer S.A.,aerospace_and_defense,
ESLT,Elbit Systems Ltd.,aerospace_and_defense,
EVEX,"Eve Holding, Inc.",aerospace_and_defense,
FLY,Firefly Aerospace Inc.,aerospace_and_defense,
GD,General Dynamics Corporation,aerospace_and_defense,
GE,GE Aerospace,aerospace_and_defense,
HEI,HEICO Corporation,aerospace_and_defense,
HII,"Huntington Ingalls Industries, Inc.",aerospace_and_defense,
HXL,Hexcel Corporation,aerospace_and_defense,
KRMN,Karman Holdings Inc.,aerospace_and_defense,
KTOS,"Kratos Defense & Security Solutions, Inc.",aerospace_and_defense,
LHX,"L3Harris Technologies, Inc.",aerospace_and_defense,
LMT,Lockheed Martin Corporation,aerospace_and_defense,
LOAR,Loar Holdings Inc.,aerospace_and_defense,
LUNR,"Intuitive Machines, Inc.",aerospace_and_defense,
MOG-A,Moog Inc.,aerospace_and_defense,
MRCY,"Mercury Systems, Inc.",aerospace_and_defense,
NOC,Northrop Grumman Corporation,aerospace_and_defense,
NPK,"National Presto Industries, Inc.",aerospace_and_defense,
PKE,Park Aerospace Corp.,aerospace_and_defense,
PL,Planet Labs PBC,aerospace_and_defense,
RAL,Ralliant Corp.,aerospace_and_defense,
RDW,Redwire Corporation,aerospace_and_defense,
RGR,"Sturm, Ruger & Company, Inc.",aerospace_and_defense,
RKLB,"Rocket Lab USA, Inc.",aerospace_and_defense,
RTX,RTX Corporation,aerospace_and_defense,
SARO,"StandardAero, Inc.",aerospace_and_defense,
SKYH,Sky Harbour Group Corporation,aerospace_and_defense,
SWBI,"Smith & Wesson Brands, Inc.",aerospace_and_defense,
TATT,TAT Technologies Ltd.,aerospace_and_defense,
TDG,TransDigm Group Incorporated,aerospace_and_defense,
TXT,Textron Inc.,aerospace_and_defense,
VOYG,"Voyager Technologies, Inc.",aerospace_and_defense,
VSEC,VSE Corporation,aerospace_and_defense,
VVX,"V2X, Inc.",aerospace_and_defense,
WWD,"Woodward, Inc.",aerospace_and_defense,
