ticker,company_name,segment,sub_segment
AES,The AES Corporation,diversified_utilities,
AVA,Avista Corporation,diversified_utilities,
BKH,Black Hills Corporation,diversified_utilities,
CIG,Companhia Energética de Minas Gerais,diversified_utilities,
ELPC,Companhia Paranaense de Energia,diversified_utilities,
HE,"Hawaiian Electric Industries, Inc.",diversified_utilities,
MNTK,"Montauk Renewables, Inc.",diversified_utilities,
NWE,Northwestern Energy Group Inc,diversified_utilities,
OTTR,Otter Tail Corporation,diversified_utilities,
SRE,Sempra,diversified_utilities,
UTL,Unitil Corporation,diversified_utilities,
