ticker,company_name,segment,sub_segment
ARIS,Aris Mining Corporation,other_precious_metals,
ASM,Avino Silver & Gold Mines Ltd.,other_precious_metals,
AUGO,Aura Minerals,other_precious_metals,
BVN,Compañía de Minas Buenaventura S.A.A.,other_precious_metals,
CNL,Collective Mining Ltd.,other_precious_metals,
ELE,Elemental Royalty Corporation Common Stock,other_precious_metals,
ELVR,Elevra Lithium Limited,other_precious_metals,
EXK,Endeavour Silver Corp.,other_precious_metals,
FSM,Fortuna Mining Corp.,other_precious_metals,
GMTL,Guardian Metal Resources PLC Sponsored ADR,other_precious_metals,
GROY,Gold Royalty Corp.,other_precious_metals,
MAKO,Mako Mining Corp Common Stock,other_precious_metals,
MTA,Metalla Royalty & Streaming Ltd.,other_precious_metals,
MUX,McEwen Mining Inc.,other_precious_metals,
NEWP,New Pacific Metals Corp.,other_precious_metals,
PPTA,Perpetua Resources Corp.,other_precious_metals,
SLSR,Solaris Resources Inc.,other_precious_metals,
TFPM,Triple Flag Precious Metals Corp.,other_precious_metals,
