ticker,company_name,segment,sub_segment
ALHC,"Alignment Healthcare, Inc.",medical_healthcare_plans,
CI,Cigna Corporation,medical_healthcare_plans,
CLOV,"Clover Health Investments, Corp.",medical_healthcare_plans,
CNC,Centene Corporation,medical_healthcare_plans,
CVS,CVS Health Corporation,medical_healthcare_plans,
ELV,Elevance Health Inc.,medical_healthcare_plans,
HUM,Humana Inc.,medical_healthcare_plans,
MOH,"Molina Healthcare, Inc.",medical_healthcare_plans,
OSCR,"Oscar Health, Inc.",medical_healthcare_plans,
UNH,UnitedHealth Group Incorporated,medical_healthcare_plans,
