ticker,company_name,segment,sub_segment
AAOI,"Applied Optoelectronics, Inc.",semiconductors,
ACLS,"Axcelis Technologies, Inc.",semiconductors,
ACMR,"ACM Research, Inc.",semiconductors,
ADI,"Analog Devices, Inc.",semiconductors,
AEHR,Aehr Test Systems,semiconductors,
AIP,"Arteris, Inc.",semiconductors,
ALAB,"Astera Labs, Inc. Common Stock",semiconductors,
ALGM,"Allegro MicroSystems, Inc.",semiconductors,
AMAT,"Applied Materials, Inc.",semiconductors,
AMBA,"Ambarella, Inc.",semiconductors,
AMBQ,"Ambiq Micro, Inc.",semiconductors,
AMD,"Advanced Micro Devices, Inc.",semiconductors,
AMKR,"Amkor Technology, Inc.",semiconductors,
AOSL,Alpha and Omega Semiconductor Limited,semiconductors,
AVGO,Broadcom Inc.,semiconductors,
AXTI,"AXT, Inc.",semiconductors,
BRKS,"Brooks Automation, Inc.",semiconductors,
CEVA,"CEVA, Inc.",semiconductors,
COHU,"Cohu, Inc.",semiconductors,
CREE,"Wolfspeed, Inc.",semiconductors,
CRUS,"Cirrus Logic, Inc.",semiconductors,
DIOD,Diodes Incorporated,semiconductors,
ENTG,"Entegris, Inc.",semiconductors,
FORM,"FormFactor, Inc.",semiconductors,
GFS,GLOBALFOUNDRIES Inc.,semiconductors,
ICHR,"Ichor Holdings, Ltd.",semiconductors,
INDI,"indie Semiconductor, Inc.",semiconductors,
INTC,Intel Corporation,semiconductors,
IPGP,IPG Photonics Corporation,semiconductors,
KLAC,KLA Corporation,semiconductors,
LASR,"nLIGHT, Inc.",semiconductors,
LRCX,Lam Research Corporation,semiconductors,
LSCC,Lattice Semiconductor Corporation,semiconductors,
MCHP,Microchip Technology Incorporated,semiconductors,
MPWR,"Monolithic Power Systems, Inc.",semiconductors,
MRVL,"Marvell Technology, Inc.",semiconductors,
MTSI,"MACOM Technology Solutions Holdings, Inc.",semiconductors,
MU,"Micron Technology, Inc.",semiconductors,
MXL,"MaxLinear, Inc.",semiconductors,
NVDA,NVIDIA Corporation,semiconductors,
OLED,Universal Display Corporation,semiconductors,
ON,ON Semiconductor Corporation,semiconductors,
ONTO,Onto Innovation Inc.,semiconductors,
PLAB,"Photronics, Inc.",semiconductors,
POWI,"Power Integrations, Inc.",semiconductors,
Q,"Qnity Electronics, Inc.",semiconductors,
QCOM,QUALCOMM Incorporated,semiconductors,
QRVO,"Qorvo, Inc.",semiconductors,
RMBS,Rambus Inc.,semiconductors,
SGH,"SMART Global Holdings, Inc.",semiconductors,
SITM,SiTime Corporation,semiconductors,
SKYT,"SkyWater Technology, Inc.",semiconductors,
SLAB,Silicon Laboratories Inc.,semiconductors,
SMTC,Semtech Corporation,semiconductors,
SWKS,"Skyworks Solutions, Inc.",semiconductors,
SYNA,Synaptics Incorporated,semiconductors,
TER,"Teradyne, Inc.",semiconductors,
TXN,Texas Instruments Incorporated,semiconductors,
UCTT,"Ultra Clean Holdings, Inc.",semiconductors,
VECO,Veeco Instruments Inc.,semiconductors,
VSH,"Vishay Intertechnology, Inc.",semiconductors,
WOLF,"Wolfspeed, Inc.",semiconductors,
