ticker,company_name,segment,sub_segment
AIG,"American International Group, Inc.",insurance_diversified,
AIZN,"Assurant, Inc. 5.25% Subordinat",insurance_diversified,
BRK-A,Berkshire Hathaway Inc.,insurance_diversified,
BRK-B,Berkshire Hathaway Inc.,insurance_diversified,
EQH,"Equitable Holdings, Inc.",insurance_diversified,
GSHD,"Goosehead Insurance, Inc",insurance_diversified,
HIG,"The Hartford Financial Services Group, Inc.",insurance_diversified,
ORI,Old Republic International Corporation,insurance_diversified,
PFG,"Principal Financial Group, Inc.",insurance_diversified,
RZC,7.125% Fixed-Rate Reset Subordinated Debentures due 2052,insurance_diversified,
UNMA,Unum Group 6.250% JR NT58,insurance_diversified,
XZO,"Exzeo Group, Inc.",insurance_diversified,
