ticker,company_name,segment,sub_segment
APC,ARKO Petroleum Corp. Class A Common Stock,oil_and_gas_refining_and_marketing,
CAPL,CrossAmerica Partners LP,oil_and_gas_refining_and_marketing,
CLNE,Clean Energy Fuels Corp.,oil_and_gas_refining_and_marketing,
CVI,"CVR Energy, Inc.",oil_and_gas_refining_and_marketing,
DINO,HF Sinclair Corporation,oil_and_gas_refining_and_marketing,
DK,"Delek US Holdings, Inc.",oil_and_gas_refining_and_marketing,
HFC,HF Sinclair Corporation,oil_and_gas_refining_and_marketing,
INT,World Fuel Services Corporation,oil_and_gas_refining_and_marketing,
MPC,Marathon Petroleum Corporation,oil_and_gas_refining_and_marketing,
PARR,"Par Pacific Holdings, Inc.",oil_and_gas_refining_and_marketing,
PBF,PBF Energy Inc.,oil_and_gas_refining_and_marketing,
PSX,Phillips 66,oil_and_gas_refining_and_marketing,
REGI,"Renewable Energy Group, Inc.",oil_and_gas_refining_and_marketing,
SUN,Sunoco LP,oil_and_gas_refining_and_marketing,
VLO,Valero Energy Corporation,oil_and_gas_refining_and_marketing,
VVV,Valvoline Inc.,oil_and_gas_refining_and_marketing,
WKC,World Kinect Corporation,oil_and_gas_refining_and_marketing,
