ticker,company_name,segment,sub_segment
AER,AerCap Holdings N.V.,rental_and_leasing_services,
AL,Air Lease Corporation,rental_and_leasing_services,
CAR,"Avis Budget Group, Inc.",rental_and_leasing_services,
CTOS,"Custom Truck One Source, Inc.",rental_and_leasing_services,
EQPT,EquipmentShare.com Inc.,rental_and_leasing_services,
FTAI,FTAI Aviation Ltd.,rental_and_leasing_services,
GATX,GATX Corporation,rental_and_leasing_services,
HRI,Herc Holdings Inc.,rental_and_leasing_services,
HTZ,"Hertz Global Holdings, Inc.",rental_and_leasing_services,
MGRC,McGrath RentCorp,rental_and_leasing_services,
PRG,"PROG Holdings, Inc.",rental_and_leasing_services,
R,"Ryder System, Inc.",rental_and_leasing_services,
TRTN-PC,Triton International Limited,rental_and_leasing_services,
UHAL,U-Haul Holding Company,rental_and_leasing_services,
URI,"United Rentals, Inc.",rental_and_leasing_services,
VSTS,Vestis Corporation,rental_and_leasing_services,
WLFC,Willis Lease Finance Corporation,rental_and_leasing_services,
WSC,WillScot Holdings Corporation,rental_and_leasing_services,
