ticker,company_name,segment,sub_segment
CELH,"Celsius Holdings, Inc.",beverages_non_alcoholic,
COCO,"The Vita Coco Company, Inc.",beverages_non_alcoholic,
COKE,"Coca-Cola Consolidated, Inc.",beverages_non_alcoholic,
FIZZ,National Beverage Corp.,beverages_non_alcoholic,
KDP,Keurig Dr Pepper Inc.,beverages_non_alcoholic,
KO,The Coca-Cola Company,beverages_non_alcoholic,
MNST,Monster Beverage Corporation,beverages_non_alcoholic,
PEP,"PepsiCo, Inc.",beverages_non_alcoholic,
PRMB,Primo Brands Corporation,beverages_non_alcoholic,
PRMW,Primo Water Corporation,beverages_non_alcoholic,
